ROUTINE: NO_EVIDENCE  (30 items)

=== N101[0]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N101[19]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N101[2]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N104[0]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N104[19]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N104[2]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N111[18]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N112[18]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N113[18]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N114[18]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N115[18]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N116[18]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N127[18]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N128[18]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N129[18]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N130[18]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N131[18]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N132[18]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N18[11]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N18[12]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N18[13]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N18[14]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N18[15]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N18[16]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N18[27]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N18[28]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N18[29]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N18[30]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N18[31]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]

=== N18[32]  [TYPE=COMMENT SCOPE=THAWROOM occ=0]
